# Intel instruction encoding, extracted from architecture ref manual

0F 9F          |SETG r/m8

0F AE /sf      |SFENCE         # IA is horrible.
0F 01 /0       |SGDT m
0F 01 /1       |SIDT m
0F A4          |SHLD r/m32,r32,imm8
0F A5          |SHLD r/m32,r32,CL
0F AC          |SHRD r/m32,r32,imm8
0F AD          |SHRD r/m32,r32,CL
0F 00 /0       |SLDT r/m32
0F 01 /4       |SMSW r32/m16
F9             |STC
FD             |STD
FB             |STI
AA             |STOSB
AB             |STOS
0F 00 /1       |STR r/m16
2C ib          |SUB AL,imm8
2D iw          |SUB AX,imm16
2D id          |SUB EAX,imm32
80 /5 ib       |SUB r/m8,imm8
81 /5 iw       |SUB r/m16,imm16
81 /5 id       |SUB r/m32,imm32
83 /5 ib       |SUB r/m32,imm8
28 /r          |SUB r/m8,r8
29 /r          |SUB r/m32,r32
2A /r          |SUB r8,r/m8
2B /r          |SUB r32,r/m32
0F,34          |SYSENTER
0F,35          |SYSEXIT
A8 ib          |TEST AL,imm8
A9 iw          |TEST AX,imm16
A9 id          |TEST EAX,imm32
F6 /0 ib       |TEST r/m8,imm8
F7 /0 iw       |TEST r/m16,imm16
F7 /0 id       |TEST r/m32,imm32
84 /r          |TEST r/m8,r8
85 /r          |TEST r/m32,r32
0F 0B          |UD2
0F 00 /4       |VERR r/m16
0F 00 /5       |VERW r/m16
9B             |WAIT
9B             |FWAIT
0F 09          |WBINVD
0F 30          |WRMSR
0F C0 /r       |XADD r/m8,r8
0F C1 /r       |XADD r/m32,r32
90+rd          |XCHG EAX,r32
90+rd          |XCHG r32,EAX
86 /r          |XCHG r8,r/m8
87 /r          |XCHG r32,r/m32
D7 /0          |XLAT m8
34 ib          |XOR AL,imm8
35 iw          |XOR AX,imm16
35 id          |XOR EAX,imm32
80 /6 ib       |XOR r/m8,imm8
81 /6 iw       |XOR r/m16,imm16
81 /6 id       |XOR r/m32,imm32
83 /6 ib       |XOR r/m32,imm8
30 /r          |XOR r/m8,r8
31 /r          |XOR r/m32,r32
32 /r          |XOR r8,r/m8
33 /r          |XOR r32,r/m32
#
#  Floating-point instructions
#
D9 F0          |F2XM1
D9 E1          |FABS
D8 /0          |FADD m32real
DC /0          |FADD m64real
D8 C0+i        |FADD ST(0),ST(i)
DC C0+i        |FADD ST(i),ST(0)
DE C0+i        |FADDP ST(i),ST(0)
DE C1          |FADDP
DA /0          |FIADD m32int
DE /0          |FIADD m16int
DF /4          |FBLD m80dec
DF /6          |FBSTP m80bcd
D9 E0          |FCHS
9B DB E2       |FCLEX
DB E2          |FNCLEX
D8 /2          |FCOM m32real
DC /2          |FCOM m64real
D8 D0+i        |FCOM ST(i)
D8 D1          |FCOM
D8 /3          |FCOMP m32real
DC /3          |FCOMP m64real
D8 D8+i        |FCOMP ST(i)
D8 D9          |FCOMP
DE D9          |FCOMPP
DB F0+i        |FCOMI ST,ST(i)
DF F0+i        |FCOMIP ST,ST(i)
DB E8+i        |FUCOMI ST,ST(i)
DF E8+i        |FUCOMIP ST,ST(i)
D9 FF          |FCOS
D9 F6          |FDECSTP
D8 /6          |FDIV m32real
DC /6          |FDIV m64real
D8 F0+i        |FDIV ST(0),ST(i)
DC F8+i        |FDIV ST(i),ST(0)
DE F8+i        |FDIVP ST(i),ST(0)
DE F9          |FDIVP
DA /6          |FIDIV m32int
DE /6          |FIDIV m16int
D8 /7          |FDIVR m32real
DC /7          |FDIVR m64real
D8 F8+i        |FDIVR ST(0),ST(i)
DC F0+i        |FDIVR ST(i),ST(0)
DE F0+i        |FDIVRP ST(i),ST(0)
DE F1          |FDIVRP
DA /7          |FIDIVR m32int
DE /7          |FIDIVR m16int
DD C0+i        |FFREE ST(i)
DE /2          |FICOM m16int
DA /2          |FICOM m32int
DE /3          |FICOMP m16int
DA /3          |FICOMP m32int
DF /0          |FILD m16int
DB /0          |FILD m32int
DF /5          |FILD m64int
D9 F7          |FINCSTP
9B DB E3       |FINIT
DB E3          |FNINIT
DF /2          |FIST m16int
DB /2          |FIST m32int
DF /3          |FISTP m16int
DB /3          |FISTP m32int
DF /7          |FISTP m64int
D9 /0          |FLD m32real
DD /0          |FLD m64real
DB /5          |FLD m80real
D9 C0+i        |FLD ST(i)
D9 E8          |FLD1
D9 E9          |FLDL2T
D9 EA          |FLDL2E
D9 EB          |FLDPI
D9 EC          |FLDLG2
D9 ED          |FLDLN2
D9 EE          |FLDZ
D9 /5          |FLDCW m2byte
D9 /4          |FLDENV m14/28byte
D8 /1          |FMUL m32real
DC /1          |FMUL m64real
D8 C8+i        |FMUL ST(0),ST(i)
DC C8+i        |FMUL ST(i),ST(0)
DE C8+i        |FMULP ST(i),ST(0)
DE C9          |FMULP
DA /1          |FIMUL m32int
DE /1          |FIMUL m16int
D9 D0          |FNOP
D9 F3          |FPATAN
D9 F8          |FPREM
D9 F5          |FPREM1
D9 FC          |FRNDINT
DD /4          |FRSTOR m94/108byte
9B DD /6       |FSAVE m94/108byte
DD /6          |FNSAVE m94/108byte
D9 FD          |FSCALE
D9 FE          |FSIN
D9 FB          |FSINCOS
D9 FA          |FSQRT
D9 /2          |FST m32real
DD /2          |FST m64real
DD D0+i        |FST ST(i)
D9 /3          |FSTP m32real
DD /3          |FSTP m64real
DB /7          |FSTP m80real
DD D8+i        |FSTP ST(i)
9B D9 /7       |FSTCW m2byte
D9 /7          |FNSTCW m2byte
9B D9 /6       |FSTENV m14/28byte
D9 /6          |FNSTENV m14/28byte
9B DD /7       |FSTSW m2byte
9B DF E0       |FSTSW AX
DD /7          |FNSTSW m2byte
DF E0          |FNSTSW AX
D8 /4          |FSUB m32real
DC /4          |FSUB m64real
D8 E0+i        |FSUB ST(0),ST(i)
DC E8+i        |FSUB ST(i),ST(0)
DE E8+i        |FSUBP ST(i),ST(0)
DE E9          |FSUBP
DA /4          |FISUB m32int
DE /4          |FISUB m16int
D8 /5          |FSUBR m32real
DC /5          |FSUBR m64real
D8 E8+i        |FSUBR ST(0),ST(i)
DC E0+i        |FSUBR ST(i),ST(0)
DE E0+i        |FSUBRP ST(i),ST(0)
DE E1          |FSUBRP
DA /5          |FISUBR m32int
DE /5          |FISUBR m16int
D9 E4          |FTST
DD E0+i        |FUCOM ST(i)
DD E1          |FUCOM
DD E8+i        |FUCOMP ST(i)
DD E9          |FUCOMP
DA E9          |FUCOMPP
D9 E5          |FXAM
D9 C8+i        |FXCH ST(i)
D9 C9          |FXCH
D9 F4          |FXTRACT
D9 F1          |FYL2X
D9 F9          |FYL2XP1
#
#  CMOV variants
#
0F 47 /r       |CMOVA r16,r/m16
0F 47 /r       |CMOVA r32,r/m32
0F 43 /r       |CMOVAE r16,r/m16
0F 43 /r       |CMOVAE r32,r/m32
0F 42 /r       |CMOVB r16,r/m16
0F 42 /r       |CMOVB r32,r/m32
0F 46 /r       |CMOVBE r16,r/m16
0F 46 /r       |CMOVBE r32,r/m32
0F 42 /r       |CMOVC r16,r/m16
0F 42 /r       |CMOVC r32,r/m32
0F 44 /r       |CMOVE r16,r/m16
0F 44 /r       |CMOVE r32,r/m32
0F 4F /r       |CMOVG r16,r/m16
0F 4F /r       |CMOVG r32,r/m32
0F 4D /r       |CMOVGE r16,r/m16
0F 4D /r       |CMOVGE r32,r/m32
0F 4C /r       |CMOVL r16,r/m16
0F 4C /r       |CMOVL r32,r/m32
0F 4E /r       |CMOVLE r16,r/m16
0F 4E /r       |CMOVLE r32,r/m32
0F 46 /r       |CMOVNA r16,r/m16
0F 46 /r       |CMOVNA r32,r/m32
0F 42 /r       |CMOVNAE r16,r/m16
0F 42 /r       |CMOVNAE r32,r/m32
0F 43 /r       |CMOVNB r16,r/m16
0F 43 /r       |CMOVNB r32,r/m32
0F 47 /r       |CMOVNBE r16,r/m16
0F 47 /r       |CMOVNBE r32,r/m32
0F 43 /r       |CMOVNC r16,r/m16
0F 43 /r       |CMOVNC r32,r/m32
0F 45 /r       |CMOVNE r16,r/m16
0F 45 /r       |CMOVNE r32,r/m32
0F 4E /r       |CMOVNG r16,r/m16
0F 4E /r       |CMOVNG r32,r/m32
0F 4C /r       |CMOVNGE r16,r/m16
0F 4C /r       |CMOVNGE r32,r/m32
0F 4D /r       |CMOVNL r16,r/m16
0F 4D /r       |CMOVNL r32,r/m32
0F 4F /r       |CMOVNLE r16,r/m16
0F 4F /r       |CMOVNLE r32,r/m32
0F 41 /r       |CMOVNO r16,r/m16
0F 41 /r       |CMOVNO r32,r/m32
0F 4B /r       |CMOVNP r16,r/m16
0F 4B /r       |CMOVNP r32,r/m32
0F 49 /r       |CMOVNS r16,r/m16
0F 49 /r       |CMOVNS r32,r/m32
0F 45 /r       |CMOVNZ r16,r/m16
